IDENTIFIER,probID,GSM152856,GSM152857,GSM152858,GSM152859,GSM152860,GSM152861,GSM152862,GSM152863,GSM152864,GSM152865,GSM152866,GSM152867,GSM152868,GSM152869,GSM152870,GSM152871,GSM152872,GSM152873,GSM152874,GSM152875,GSM152876,GSM152877,GSM152878,GSM152879,GSM152880
ADORA2B,36324_at,5.865064872,4.853468458,3.715750613,1.964775596,3.434830698,1.988577036,5.247043488,5.765844501,3.006220874,3.367386327,6.402548694,2.82812107,4.386824433,4.455158123,2.595332085,4.392886224,3.590450241,3.904325676,5.463933843,5.136439375,5.422800482,5.728619718,4.648642309,2.387757367,2.595332085
CRYBA1,36325_at,5.303971416,4.107351592,4.301370622,6.221991952,4.526556545,2.721614242,3.778601445,3.116466578,3.282204938,3.18453103,5.959852,4.370266877,4.604613936,3.551212573,3.345218313,4.277174264,4.985881534,5.326309703,3.238976072,5.881381266,4.369361253,4.846086788,3.802999651,5.893873615,3.681177768
NHLH2,36326_at,4.465812194,5.04908701,5.361293419,5.671413914,6.020433562,4.482018904,4.870625012,2.913327797,5.428028133,2.433480319,5.874739836,5.095379817,2.964325858,2.816236781,5.036971099,4.408143644,2.731428753,2.654488794,3.221305473,5.256169013,5.233002379,5.976618585,4.758560657,3.90057384,5.378617773
KCNJ1,36327_at,1.26212719,2.509145017,0.720364271,6.920059875,2.72755127,2.590221797,2.093894416,1.933842449,4.628132042,3.016387913,5.688133281,2.715083317,1.26212719,2.134106318,2.897663741,2.557139745,2.516213033,2.716980444,2.021191698,3.438711762,1.926066545,5.544753478,3.034835269,1.87689641,3.047369383
SHBG,36328_at,7.741144318,7.12088447,8.102521534,8.294787034,8.113683519,8.18752616,7.575855533,7.544832084,7.559440095,6.701238797,8.233892183,7.716303454,7.446706321,6.944738096,8.159752547,8.113423795,8.320689709,8.055377202,8.431058837,8.193235004,6.7876854,8.355658476,6.370539751,8.231482153,7.941029952
SCGB2A2,36329_at,2.694096117,4.312653636,3.867618893,3.042096251,5.303971416,1.35464154,3.79442978,5.006069841,2.820740453,5.526755969,3.29611752,3.128789565,3.490054679,4.382364476,4.255616678,1.803062206,3.087456548,1.916208071,2.878925846,5.563553922,2.597423113,2.958564351,5.674737995,5.620966784,3.543353287
CCBL1,36330_at,8.715997997,8.237209348,9.173327213,8.86266178,9.123807145,9.000235966,9.150149061,9.136842188,8.820133638,8.97220526,8.846193541,8.652402419,8.345754076,8.995199269,9.26025919,8.972724008,8.555375656,8.992873033,8.368597352,8.919028101,8.455443033,8.098952078,7.940051303,8.473932944,9.117729137
TRAPPC10,36331_at,6.134096886,5.947795287,3.867618893,7.664891183,4.532761004,5.738591482,3.757729073,5.62599918,5.805851879,6.49187533,2.45322831,5.530401965,6.276474006,5.303820722,4.941919044,5.637881774,6.091739657,6.650773126,5.948324761,6.211264966,5.171246242,7.521772607,4.295466583,6.504833639,3.651381968
AANAT,36332_at,9.059895797,7.992027263,9.078642789,10.62284575,9.153039896,8.880814584,9.77965785,8.887930102,8.687393268,8.801656624,9.630404148,8.466946493,8.149255169,9.122217309,9.428004804,9.144110716,8.774672737,8.415439122,8.694997317,8.881157363,8.224507078,9.100024556,8.483027106,8.560574796,8.921368982
RPL7,36333_at,13.52203878,12.89505895,12.41276378,11.35159313,12.73366865,12.79441831,12.68391518,12.72150712,12.84483013,12.46897719,12.18434997,12.86971499,12.14508233,12.9507906,12.93605515,12.89505895,12.44144832,12.59386842,12.8609724,11.72159381,13.3731491,12.25954188,12.70783218,12.92385012,13.06950138
LY9,36334_at,6.721902064,6.273488564,7.538121526,8.248228912,7.344873583,6.321623228,6.790546606,6.891520935,6.680382378,6.998481471,7.312849789,6.903790933,6.643192685,7.006868998,7.571966671,7.289621566,6.971270706,4.803592273,6.187618256,6.852996885,6.508407283,6.846952825,6.965456857,6.20545929,6.621425467
BTN1A1,36335_at,4.113608467,4.146478186,4.43305508,4.351728229,3.557568759,4.489179271,5.287847403,3.764588552,3.902049017,5.058877573,3.251883571,4.7144901,4.061819735,4.932851894,4.520960909,4.429139409,4.649565524,3.82441509,5.114189849,4.332582765,4.777166931,3.779186861,3.998986279,4.524223083,3.635978885
SBNO2,36336_s_at,4.799326253,6.51010338,3.327766636,6.828354403,6.81639767,6.666159469,3.212622533,6.680828399,4.177296638,6.561147176,6.919384779,6.561147176,6.706453276,7.809528086,3.551972611,6.075929459,3.087456548,7.082873732,4.586063662,4.223548051,6.735338891,6.435883826,4.541829002,5.141053919,4.534921148
SBNO2,36337_at,7.886471625,6.572796095,7.746607626,7.930124154,7.568759323,7.680899967,7.457273086,7.250731426,6.975867446,8.469886702,7.57967028,7.342483461,7.230656455,8.039193671,8.316575958,7.995194164,8.155284179,6.984813234,8.222639549,5.625835517,7.214976717,7.292797073,7.669339819,7.244613391,7.925523395
LUZP1,36338_at,8.612769469,8.00355529,8.795702977,9.531702357,9.080488806,8.436326823,9.017177685,8.609513656,8.392594791,9.063250625,8.727013144,8.783843155,7.864873683,8.444004477,8.490947455,8.456016529,8.556804513,9.118093391,8.096780055,8.466946493,8.137277151,8.829347427,8.005750239,8.080746765,8.725027037
KCNV2,36339_at,6.106416555,2.90985005,4.240913824,4.277799219,4.520161115,6.21366256,6.674870163,5.246464711,5.952945393,6.362557915,7.323878988,6.080732838,3.769598695,5.871496679,6.397461323,5.419504271,5.503431301,6.051063483,4.552903461,5.768365058,3.151581158,6.319011231,3.223476994,6.86789998,6.37383466
ZKSCAN1,36340_at,5.998126943,6.133696194,6.423769804,6.675346184,8.287310978,7.231369584,6.432579983,6.543207814,7.656656269,7.665554392,6.603955497,8.124398115,7.389846409,6.948757986,7.081391875,5.976065408,6.240820744,6.615396544,7.514708786,6.177021177,5.878080708,4.604893134,4.401009342,4.480781979,7.727628243
