IDENTIFIER,probID,GSM152804,GSM152805,GSM152806,GSM152807,GSM152808,GSM152809,GSM152810,GSM152811,GSM152812,GSM152813,GSM152814,GSM152815,GSM152816,GSM152817,GSM152818,GSM152819,GSM152820,GSM152821
AZU1,33963_at,4.986477962,4.896420828,4.899388374,4.57255644,5.618292836,4.493036017,5.746247349,5.037187465,5.193480571,4.491290526,4.586418572,4.449606796,5.439147273,5.092665099,5.53530944,5.472845335,5.465635935,5.737028827
CRYGC,33964_at,4.226063046,5.920730311,3.715965629,4.564236355,5.035065414,4.408285841,5.532661559,4.553905572,6.518940113,4.398300491,3.365030153,4.201348944,4.927064463,5.304190581,4.700871194,5.354336898,5.04967909,5.151701322
CCL1,33965_at,3.827725868,5.836540584,5.018730233,4.100221593,3.900249791,4.703270773,8.675846201,5.908326299,4.35941735,4.439918535,4.816803783,4.164571975,5.254043409,5.144620915,4.585678854,4.486966404,4.637727007,4.407973366
IL7,33966_at,5.163627372,5.49831349,5.712816166,4.655954041,4.129543858,6.102620439,6.34446646,4.967537852,5.173555897,5.121792722,5.230513813,3.835558335,4.932832075,4.737677764,5.72442949,0.899280105,5.062039866,5.163963168
HLA-DOA,33967_at,7.424943595,8.632080172,7.267551142,8.231512305,8.667312215,7.948616039,9.930001486,9.293610848,7.952884204,8.163105599,8.288733388,8.013718771,8.481919994,8.688437495,8.461509251,7.98816995,8.511370543,8.475058755
MKRN3,33968_at,1.250678706,1.664805751,1.887019578,1.972149263,2.409540524,3.105372665,3.5639766,2.191921582,2.029748996,2.167659325,1.891887059,2.071315609,2.784813082,2.13270104,2.13270104,1.515705143,0.959469635,2.134958928
IFNW1,33969_at,5.750329971,6.217095531,5.836226748,6.392926046,6.525279057,7.111569921,8.202826797,6.654704515,5.983744366,6.290504992,6.022930332,6.982632611,6.106115415,5.450457516,6.298375488,5.39612239,7.055582624,6.944049035
MAGEB1,33970_at,1.814001506,0.942699863,5.242627573,1.389780095,4.449606796,4.78357672,3.335188623,0.942699863,3.333182158,1.524843301,2.342768861,5.251634877,1.430634035,0.848846772,3.240492826,5.172434065,1.734657028,1.937692621
DAZL,33971_f_at,6.184778559,6.147043051,5.147891079,3.441159141,5.652707537,4.724315237,5.453483172,6.174257194,5.431413333,5.427414519,5.284871454,5.324477906,2.763503231,5.174461093,4.021511699,3.695324299,5.690271059,5.640479916
DAZL,33972_r_at,2.150902052,1.664805751,4.380903797,3.32082584,3.004889979,4.182050606,3.552340544,3.530556582,2.599998364,3.407039247,1.033354149,5.188450993,4.553105783,4.464878118,1.047286255,2.50917057,4.316512544,0.083631504
NPY6R,33973_at,5.803756252,2.242867007,5.594771679,5.458930909,6.559187001,4.457536696,3.085018915,5.500640103,4.711460211,4.092857711,4.338452348,3.741062526,2.291335015,6.397149335,5.749004413,1.814001506,1.284358786,4.771833447
RASL10A,33974_at,5.253229618,3.703091231,3.336383531,5.892156461,4.176674344,6.020254056,4.967114574,6.03817765,5.54748527,4.912431182,3.602670655,5.816944865,5.819169733,3.559980877,5.082448932,6.093021298,6.619855697,6.10070926
BTC,33975_at,1.54403799,5.730409089,3.625837639,4.647852344,2.355773124,3.161849903,6.074158164,5.849194198,2.830319723,3.003877789,4.966969112,3.098517645,5.628765608,2.487233613,5.663217745,2.971041577,5.708589585,2.065816861
