IDENTIFIER,probID,GSM152804,GSM152805,GSM152806,GSM152807,GSM152808,GSM152809,GSM152810,GSM152811,GSM152812,GSM152813,GSM152814,GSM152815,GSM152816,GSM152817,GSM152818,GSM152819,GSM152820,GSM152821
MAPK3,1000_at,9.043682832,8.831807526,8.689024494,8.52431841,9.084136802,8.469943024,9.212211344,9.532020079,8.63443295,8.810785891,8.725735367,8.319993131,9.397426288,9.487644354,8.829928845,9.115905934,9.517911173,9.091212512
TIE1,1001_at,7.036067588,7.072799628,6.8420172,6.113467949,6.816284296,6.581250676,6.758383028,7.467310827,6.016663595,5.944648644,6.118418874,5.539249387,6.49824107,6.758193805,6.476048331,6.207868017,5.343371499,6.823806327
CYP2C19,1002_f_at,3.862035695,3.90308215,2.704508024,2.759862705,3.261273076,5.238180745,4.260218055,4.176674344,2.277160083,2.902489718,1.549160569,3.278218923,2.739103628,3.437369523,4.585678854,3.494659512,2.885438909,3.75018983
CXCR5,1003_s_at,6.131955583,4.474822264,5.488522302,4.136554748,4.414130003,6.258027932,5.898637029,6.491504872,3.876140591,5.790121491,3.902509642,4.881623491,5.346339021,4.712026516,4.539596763,4.635672094,5.443311823,5.284976225
CXCR5,1004_at,6.502791607,4.227002739,4.380903797,6.307690791,7.061018351,6.945008513,7.891076339,6.918901467,5.68664307,6.304151305,6.520477957,7.015228722,6.604715701,3.598622555,6.868968862,5.366047357,7.395657508,6.581672242
DUSP1,1005_at,8.731631345,9.566567794,9.809225735,10.78329924,10.84281372,10.09528899,10.01028487,10.32412358,10.25571581,10.66639788,10.08601532,9.363260102,8.979774019,10.35176975,10.01841502,10.05166084,10.13523858,9.445944275
MMP10,1006_at,5.249334365,3.3990099,1.780183267,1.566483783,2.602027137,5.118425884,3.986159916,3.657755477,1.268683036,3.556783042,4.663301146,4.807205184,2.870227545,2.599429916,3.049121424,3.367322432,2.73198809,4.625993915
DDR1,1007_s_at,10.76707261,8.717402753,9.59650278,10.32033182,9.824590659,10.12401096,9.067738876,9.09640435,9.863451255,10.10875623,10.30571412,9.629577508,10.64299611,9.815766801,9.094216602,9.30465472,10.48452378,10.02290413
EIF2AK2,1008_f_at,10.48871537,10.70636903,10.48452378,10.82678483,11.17667919,10.81771324,14.25102971,13.06489344,11.16271442,10.44020099,10.65400257,10.45553504,9.647686788,10.88044504,10.81771324,11.11006461,11.56979663,11.04942413
HINT1,1009_at,9.797565532,10.10875623,9.933782404,10.7027324,10.11635225,10.28601387,9.527897106,9.433848574,10.61865105,10.95385461,10.63264116,10.55110095,9.954903627,9.468976691,9.240483673,9.757265457,10.14651768,9.779496497
RABGGTA,100_g_at,8.466743155,8.231672524,7.668047943,8.154222967,8.293579753,8.532044516,6.189614795,8.986570719,8.76678556,8.326444921,7.99349487,8.078883918,8.341070858,8.287400285,7.786660986,8.011723134,8.387533972,8.552654038
MAPK11,1010_at,5.796299675,3.602320654,2.67888715,3.386650326,3.682150769,3.953277001,4.055701177,3.875031472,3.689581134,2.882214752,3.444373133,5.57791337,2.784813082,3.570113494,3.10956763,3.309747331,3.001940702,5.864693603
YWHAE,1011_s_at,8.326444921,7.239633371,8.07655277,7.873094553,6.472727717,7.827365543,4.435515073,6.673067341,7.290687653,9.00252946,8.789342337,8.810785891,8.68156995,8.610999597,8.507322119,8.477652612,8.886605823,8.620171912
KAT2B,1012_at,5.159539765,5.523051118,3.900249791,3.031918502,2.755916496,4.345554593,5.289955689,3.468348246,5.504497084,4.999417544,4.899070582,5.551432211,5.914100573,4.30646294,4.292634266,4.860701758,4.566800058,5.241837157
SMAD5,1013_at,4.839131558,4.432545587,5.04474007,3.697526205,2.43310847,4.537434307,1.051105797,0.985398383,3.836952497,4.342967319,4.691247079,2.645701345,1.613543754,5.245272312,1.768370173,4.551992836,2.107255778,4.87181318
POLG,1014_at,7.607843958,8.394925036,8.381774228,8.103317446,8.707808327,8.057398644,7.871485453,8.671377065,8.016945947,7.999984917,8.056005252,8.302474461,8.599478644,8.443293311,8.448376914,8.402898056,8.469543515,7.989803371
LIMK1,1015_s_at,4.962845862,5.810848482,5.756930573,4.008401169,5.167554187,4.711460211,3.818335453,4.888379492,4.57255644,4.88558942,5.200335274,3.098517645,3.921349131,5.418956317,5.128186768,5.349502069,4.292865246,4.643596738
IL13RA2,1016_s_at,3.083971191,4.813585041,4.652978408,3.133701249,5.340383426,3.735082829,4.465755125,4.553905572,4.771385366,5.576973005,3.251125331,5.06309567,3.909944532,5.027185002,5.279495446,5.589683445,4.652978408,3.057039281
MSH6,1017_at,6.020254056,3.80048239,4.643276779,4.840164913,1.664805751,5.647777232,6.431424937,4.36232091,6.182893345,4.88558942,6.177154677,5.940306639,6.234846381,5.684480431,6.494904459,6.715730469,4.502034329,5.254655206
WNT10B,1018_at,6.346695188,5.741701099,4.938962006,6.085400184,4.927064463,6.607956469,7.498786293,6.669375892,4.615960303,5.247657507,5.72807223,4.564875874,4.927064463,4.525770734,5.271202339,4.937988403,4.921910295,5.206907648
WNT10B,1019_g_at,6.981746406,6.346695188,5.623117097,7.131231297,7.629861209,7.273462633,9.16011881,8.435738395,6.754229845,7.621409849,6.418228936,7.580553938,6.711430893,7.222659234,7.076925219,7.351478662,7.292558868,7.094445151
DYRK4,101_at,7.723890086,7.898099549,7.104938682,7.891893343,8.100454385,8.019326279,3.209289135,6.581427004,7.613072992,7.602822658,7.789249984,7.820667336,6.897566892,6.409729375,7.597065602,7.372530011,6.649346902,6.612873499
CIB1,1020_s_at,9.782589322,8.778070559,9.056688334,10.30571412,8.819088086,10.27201212,9.751608813,9.61838846,10.39517764,10.38037197,9.863451255,10.48452378,9.335603252,8.597281739,9.066545187,9.891387196,9.791237291,9.976173104
IFNG,1021_at,5.27805393,4.853067709,5.859321335,3.237029169,6.134542291,5.469522693,6.349230075,5.662275269,5.222943829,5.05490465,3.152883641,5.031066238,3.349021871,6.017670962,4.920408518,5.52811832,5.777571354,5.124093989
IFNA14,1022_f_at,5.389652397,5.503264082,6.02383954,3.586140707,4.752233285,4.640313176,7.471601698,5.836226748,4.82319426,3.629435239,4.805075553,4.841324629,5.134972254,6.066914417,5.333884176,3.608948594,5.756030504,5.619288389
EPO,1023_at,3.837697328,4.497655746,3.806808099,4.553715192,4.799002364,4.45333738,4.777287127,4.88204084,3.675143305,4.071026949,3.755109806,3.532839973,4.052566662,4.371013721,3.991046156,4.235578454,3.537260711,4.486512835
CYP1A1,1024_at,5.985398627,4.535387987,3.735404718,6.113467949,4.527987993,5.149504701,4.515784582,6.86222087,3.791951074,3.896752277,5.341484378,5.509348199,4.66676707,3.985601379,5.374356728,5.097585066,5.035584347,5.78622696
CYP1A1,1025_g_at,5.261850287,5.452375784,6.423501441,5.93884068,4.967114574,3.932389514,6.485013318,7.052984592,6.161656764,4.936295793,5.576376157,2.535777306,6.17534322,6.425479688,5.672150207,6.046252079,6.472446759,6.144467681
COL11A2,1026_s_at,5.429508711,7.688399516,7.368788706,7.181281649,8.208120145,4.976675891,6.469180424,6.705749631,7.10835153,6.721678043,6.213095373,7.180442255,7.005273869,7.295510842,7.333007088,6.837345181,5.735122947,7.749445
COL11A2,1027_at,3.428795019,3.687859371,5.859321335,3.967785786,3.399416755,4.033564494,5.072723231,3.915918436,6.238124163,4.820015418,3.212846119,4.82319426,4.927064463,4.089967361,4.256643844,4.032940214,4.128517279,5.353062848
TOP3A,1028_at,5.899725569,6.277189724,5.944648644,6.106368431,6.382857905,5.963046443,7.725611306,6.73991068,6.916795741,5.980288149,6.492052038,7.461786038,6.867286678,6.284733514,6.784337573,7.34785817,7.153435755,5.936191379
TXK,1029_s_at,2.596703315,3.005687495,3.762391123,1.185065873,2.755916496,5.433860115,4.184455932,2.343128279,1.394755183,2.101335202,4.737677764,4.155929563,3.776058119,2.947673168,5.412559476,2.50917057,1.185065873,5.837865304
HIPK3,102_at,5.203864236,5.123418993,1.53842812,2.830319723,4.121173762,4.267199219,2.722610126,0.985398383,5.626426292,2.935478666,4.60724808,5.131192192,4.870490498,5.496453423,2.92270427,1.408611034,5.482330041,5.25887115
TOP1,1030_s_at,9.533462343,8.596918739,8.134271702,9.450316484,8.077207299,8.913410375,9.438672515,8.592242189,8.566785676,9.235947819,9.146597758,9.356096159,8.991685917,8.061241181,8.901972267,9.286683734,8.784084343,8.418476377
SRPK1,1031_at,6.291266317,7.067809075,6.078284691,6.414852594,5.914100573,5.981116244,6.970671477,5.669877772,5.682300998,6.181976175,6.26144377,6.217095531,6.269897989,6.304318388,6.456475208,6.299501302,6.300487655,5.683857277
CXCR2,1032_at,7.738727811,7.400244702,6.725134351,7.951536527,8.671022969,8.476316432,9.789752655,8.730478954,7.254988342,7.628258856,8.107008671,7.814043809,7.762675429,8.628910597,8.299586507,7.969979258,8.235182029,7.905795499
CXCR2,1033_g_at,4.236657356,5.856365838,4.593295892,5.408726112,4.954127826,4.592335395,6.875416184,5.743455371,6.13746608,6.485013318,5.695752793,5.847788287,6.161206567,4.562969779,5.128186768,5.866560127,4.714818983,6.570455952
TIMP3,1034_at,8.226758747,9.781104933,8.351260064,8.278127004,9.30334777,8.030420638,8.976819979,9.692517259,9.076566705,9.229254265,8.654018892,8.792794827,8.880110188,9.88702772,8.99633781,9.9826824,9.331967339,8.815339113
TIMP3,1035_g_at,8.199827687,10.00826213,9.388096342,7.511628931,10.07600721,8.008741807,9.365742348,10.26839986,8.910691347,9.221858397,9.572062753,9.984861596,9.470386066,9.979246568,9.313696319,10.48871537,9.533462343,9.627489689
IL15,1036_at,3.250522691,2.031368238,3.200559721,3.837347327,3.309082184,4.648779476,5.111192851,2.453294172,4.185184482,2.167659325,0.703717271,2.566365479,2.711664501,5.348025179,2.5373695,2.453294172,2.055886906,1.153374702
BAGE,1037_at,4.296343656,2.074396043,1.53842812,4.966969112,4.977582033,1.824903934,7.175630561,6.152677908,3.247939188,1.989582211,4.559765563,3.532839973,2.200043812,5.011687128,2.684070962,3.967785786,2.73198809,4.405448002
IFNGR1,1038_s_at,8.416829469,8.170821738,8.461509251,9.080659636,8.036079764,9.021647016,7.314626804,8.069945489,8.211086877,9.669187843,9.445944275,8.839545652,9.013700644,8.094465969,8.344278517,8.851782299,8.278665591,8.648789323
HIF1A,1039_s_at,7.120963919,8.103579664,5.861240489,7.348491738,6.403021498,7.24967385,7.589561585,7.646483294,6.744990925,7.178794598,7.300095458,7.660438162,6.64260033,6.851708735,7.817739817,6.779078121,6.419437843,6.341609709
THBS4,103_at,7.180274914,3.471119636,6.986235471,7.152916652,7.057731004,6.042878854,4.815047505,4.391539961,6.482060459,7.245048211,6.302702625,7.995513317,4.200389665,7.692565737,7.619079149,6.600223622,3.95219078,7.118879125
ABI2,1040_s_at,5.818624822,3.348369371,4.122322578,5.818827155,4.121173762,2.634942695,3.37566026,6.439425866,3.75018983,2.854296319,3.82578355,4.064441729,4.895789666,2.931732459,5.428912801,3.204487552,2.452955986,3.437369523
EFNA5,1041_at,5.459551276,6.024713843,3.917849942,4.32486088,6.260409864,6.164233203,7.746790276,7.774464594,6.155880654,6.173032342,5.060379069,5.721268394,4.280172424,6.24933145,5.811129024,5.746884271,6.997166342,5.78622696
RARRES1,1042_at,8.404473282,10.61536028,6.787673062,9.459559581,9.030384948,8.961400062,10.0208233,10.47812957,7.380427016,8.370699957,9.376599433,6.771136555,9.25068176,9.707944276,9.732939346,7.227503427,8.003448928,7.469769275
RAD52,1043_s_at,2.869747601,4.726086524,5.349502069,4.980271081,5.537051534,4.052566662,3.209289135,6.207412896,5.114065067,5.486417977,5.537241344,4.999933033,5.322683304,4.128517279,3.443739535,3.98832338,4.838565244,5.885208749
E2F5,1044_s_at,6.097128178,6.177154677,5.778294818,6.538970077,5.800655957,6.362740886,3.475088183,6.472446759,6.060131988,4.926547055,6.121394726,5.994331962,6.553052275,6.253883099,5.994396133,4.551992836,5.969943939,6.542387134
RELA,1045_s_at,6.238521061,3.932089889,5.166354392,4.345105574,5.811978652,4.976675891,3.496035729,2.282815168,6.923912067,2.347135264,5.6546822,5.116601282,3.574597991,5.841605871,5.722626164,4.897501187,5.729376251,5.726595051
IFIT5,1046_at,6.762148617,6.501344209,6.592204741,6.705981365,6.921806927,6.305532886,6.490385441,6.676576993,5.967750266,6.61227193,6.768925821,6.13722231,6.397347588,6.838053043,6.869989862,6.47069888,6.614822656,6.470087992
MST1P9,1047_s_at,6.515611784,6.614059451,5.04058617,6.560910803,6.965286358,6.729988593,6.752466218,7.213939673,6.645069071,6.76087745,6.753415102,6.754514917,6.914702665,6.186331139,6.806928956,6.965675685,7.332806397,6.913658048
RXRG,1048_at,5.556723995,6.405076635,5.667547952,5.219569215,6.990888375,5.881770436,5.957592719,5.216917566,4.877230423,5.826491657,4.956829317,5.551432211,6.243894635,6.775429354,6.897917483,6.273393324,5.05738944,6.354016671
RXRG,1049_g_at,5.172224296,6.267001519,6.395813954,4.512645626,5.346965651,4.648779476,6.092421217,6.330430261,4.527227475,4.447377208,4.509282102,4.67773939,4.942075679,5.463883804,5.976172298,6.420447414,5.292373278,4.521512441
POU6F1,104_at,5.855161061,6.352068589,5.602854018,6.32833368,6.27098944,6.104536383,7.807575584,6.359934122,6.556760171,3.476328753,6.533568372,6.50916396,6.430644026,5.507467366,6.0043076,6.171462691,6.548439296,6.18001559
MLANA,1050_at,1.682537703,0.942699863,4.03913422,0.256150155,2.316841082,0.942699863,0.267926351,2.603487462,2.277160083,0.621507893,0.703717271,2.946988111,2.629859031,4.149258719,1.97438658,-0.016330885,1.558499589,1.062647867
MLANA,1051_g_at,5.215997305,5.852674375,6.256833737,3.716777731,6.504635359,3.548086983,7.464617732,4.021209246,5.500640103,5.541658983,3.340004822,3.369671264,6.234846381,5.217138669,6.029342184,4.235578454,5.602854018,6.032976334
CEBPD,1052_s_at,10.44182736,10.74568659,9.523712295,11.52281937,9.826531063,11.3782401,10.42095256,10.97097755,10.50902823,10.83935392,11.15730028,9.879590608,11.3084224,10.6707741,10.71499789,10.31225265,10.16360256,10.56171865
RFC2,1053_at,5.93884068,6.177154677,6.439784368,5.204331189,2.409540524,5.899529351,5.835568807,4.142739414,6.119025459,4.876515869,6.370715312,6.063248426,6.263428943,6.511410547,6.325724696,4.845687609,5.864693603,3.954156367
RFC4,1054_at,5.101201589,6.114759563,5.304808217,5.756030504,5.966160582,5.992484709,7.28693913,5.946240309,4.085108698,5.129367298,5.72807223,5.373980493,6.234846381,4.991556507,2.87651434,5.208074143,5.584948924,1.884474929
RFC4,1055_g_at,6.532881781,6.716084941,5.544816647,6.396525552,6.431778674,6.218723036,6.353595149,6.980006421,6.132578152,5.734850931,6.155055608,6.082828123,6.83376669,6.17821044,6.612873499,6.406682252,6.409531329,6.252883881
IL16,1056_s_at,4.98328706,2.299122334,6.078284691,5.655008967,4.581330936,6.318908603,3.734036318,5.572558048,4.654454881,4.986477962,4.65614352,2.85384855,4.357905011,6.201275111,3.023448746,5.189616042,2.38700872,4.831264499
CRABP2,1057_at,8.817598907,6.745732313,6.457426677,4.816569052,6.195512056,6.811853717,8.030573442,7.002878312,6.104536383,7.341681395,6.059814989,5.633611969,8.757185591,6.517285529,6.388800349,6.152935211,7.900815664,6.680852521
WASF3,1058_at,7.107858533,7.790488155,7.357437437,7.113777166,7.493252481,7.08487568,5.834030238,7.12981801,5.933034887,7.406513851,7.978202067,7.073839952,7.380642707,7.68480491,7.883140169,7.797541678,6.548439296,6.948538025
NTRK3,1059_at,1.54403799,5.108549056,2.214401077,3.788320881,5.366746057,5.110026659,6.680228283,6.467657194,4.91197448,4.302606149,4.61961905,0.178542428,5.200335274,5.500749747,4.631018374,4.486966404,4.254286856,4.623193026
NR1I3,105_at,2.905298848,2.13270104,2.630473208,2.783692089,2.928876248,3.180013252,4.67773939,5.738438303,1.459492297,4.539931564,4.002647182,3.653664709,2.544224545,2.552429796,4.955602244,3.183876192,5.224059605,3.288168741
NTRK3,1060_g_at,4.126095568,4.36415088,3.900249791,6.537920201,5.862870798,4.155929563,7.486412298,6.266943058,3.366946139,4.553715192,5.408360727,4.617202365,5.678684514,6.329444615,3.991046156,4.266311198,6.487299353,3.505592689
IL10RA,1061_at,6.554370224,5.003944611,6.407629668,6.895172141,4.758458463,6.351367282,5.836155631,7.773512904,6.656244989,6.082412396,5.505010096,4.547557108,4.491290526,6.975195274,6.804223385,6.683822992,6.893088449,4.355320756
IL10RA,1062_g_at,5.446295726,3.815576003,5.413358305,5.700098445,3.517404694,4.967114574,6.487070021,6.419258084,5.946240309,6.024084225,4.416276225,4.655954041,5.39612239,5.717491656,6.560642558,6.247603621,6.246528726,4.381274984
TYRO3,1063_s_at,7.410618019,7.128172679,6.165964184,5.724280375,6.826421895,5.219135818,6.021372559,4.185587852,7.56922221,6.252109731,4.977937686,6.932321707,5.232209801,4.35808842,4.53521636,6.382857905,5.484528068,5.824794347
TWF1,1064_at,7.578131493,7.900966686,6.286305242,7.496603197,6.260409864,7.404394489,6.495845102,6.756393961,7.071989522,7.575320884,7.52667995,7.790488155,7.558543552,6.250734347,6.745477076,7.666290562,7.029875237,6.904938679
FLT3,1065_at,5.757947379,4.398300491,6.34588156,5.442290186,6.147488838,5.80246755,7.418017897,6.480664412,5.979980535,5.903267787,5.897200325,5.57791337,5.93599858,5.182838961,5.969720002,3.703447454,7.110128484,5.484464809
IL12RB1,1066_at,3.063381073,6.029048986,5.637765833,2.80839441,5.204331189,5.664656262,5.495720202,4.850430569,5.585599485,2.935478666,4.045336318,4.164571975,5.400447661,4.02603512,4.497954272,3.803668193,4.679880524,4.725813441
FLT3LG,1067_at,5.745876856,5.772811627,5.930984863,5.306506858,4.919075936,5.061148256,5.780407138,5.958533869,5.562780526,4.837724165,4.865658581,5.003293649,5.44304725,4.443879015,5.057551851,5.215997305,5.086548427,6.311608432
FLT3LG,1068_g_at,5.402637403,6.270474129,6.173261472,4.951659647,6.267107822,4.855110397,5.344359911,5.316353007,5.253229618,4.843205088,5.346026086,5.675057209,5.386501387,7.15982599,5.234315296,5.482660915,5.537241344,4.514988019
PTGS2,1069_at,6.050858525,7.784148432,3.114811104,9.014552544,4.536465338,8.313653664,7.666919904,6.437094476,6.346897489,6.439425866,7.072656205,5.123418993,5.623117097,4.287728758,5.882563893,5.366047357,7.408399038,4.884603733
RUNX3,106_at,6.195278696,2.777219514,4.025770598,2.662815701,3.766398457,1.670710989,3.858376147,4.194097559,4.207785113,3.221706939,3.502551726,4.432188656,3.935481934,2.763503231,2.169855345,4.979195816,2.745631456,5.537051534
GTF2B,1070_at,6.543411484,6.092255489,5.206592299,6.508903546,6.08728873,6.756393961,7.46308223,6.794466003,6.507151748,6.722679219,6.736874731,6.760506563,6.520477957,6.224546257,6.026612777,5.965477488,6.03817765,6.362379269
GATA2,1071_at,7.695135887,7.749027514,7.8399013,8.120673655,7.201562137,7.957595623,7.017392348,5.955507858,7.840146123,8.38052367,7.006144011,7.829388428,8.41929285,7.548473429,7.508926142,7.953449268,8.161584286,6.651598981
GATA2,1072_g_at,8.091643725,7.52667995,7.815681729,7.397092517,7.645445874,7.991972657,8.565838748,7.445592595,8.282664738,8.15541355,7.649558066,7.915879069,8.485354555,8.006544229,6.852359576,8.410228757,8.529574362,7.807356281
TCEA1,1073_at,9.582843533,9.579021976,9.362458964,9.271066004,8.445137309,9.522317135,9.004938327,9.235536917,9.063331986,9.591048351,9.988247754,9.386490552,9.134842994,9.162940522,8.955393251,9.565261398,9.658500152,9.62428307
RAB1A,1074_at,7.667752702,8.252275301,7.246647643,8.543825219,7.717415244,8.931147598,6.121267857,7.940954436,8.458497211,8.558930639,8.51389104,8.19720865,7.527923643,7.519874157,7.450141761,7.333837055,7.421691537,7.424571066
IFNA16,1075_f_at,3.366569847,5.003944611,4.912202831,2.708035409,4.293364623,5.032880805,7.334674858,6.186781675,5.406012325,4.357721602,4.98597406,4.392595639,3.647730226,5.011687128,5.634595081,4.773955846,5.17944291,4.02201914
IL1A,1076_at,3.519943037,3.263917058,5.830205791,3.369877304,5.227341855,5.000190734,5.926827866,2.806612189,2.599998364,5.301507294,5.284871454,4.379961122,1.669139224,3.912708969,4.504191723,3.149099467,3.537260711,2.755341943
RAG1,1077_at,3.474487808,2.13270104,3.200559721,5.119727046,3.600266666,1.784916391,5.037664424,1.712740554,1.459492297,3.820363235,4.889454809,3.40217823,1.726766787,4.838851803,3.067977165,2.874082024,4.714818983,2.782449433
PRLR,1078_at,1.814001506,2.422397721,4.360731533,5.413358305,2.059837276,4.498288927,3.085018915,1.884474929,3.067977165,2.65479998,2.629859031,3.00151209,2.171411699,2.887772551,1.92381421,2.544224545,1.945851586,1.669139224
PRLR,1079_g_at,4.117073454,4.896420828,4.934315428,5.729376251,6.807376593,6.053131498,5.431225259,5.117100525,4.460294599,4.207584236,4.164755384,6.382261777,6.080489471,5.018515133,6.043817175,6.113296645,6.718364633,5.036550265
RAB40AL,107_at,4.096245544,5.532661559,4.736947319,4.822638066,5.041847485,4.017089903,4.700739151,6.378640022,3.885783813,4.479166635,4.300603832,5.998509602,5.011687128,4.375804128,3.766398457,5.200335274,6.919365151,5.076580657
CYP1A2,1080_s_at,2.851939592,3.602320654,3.114811104,1.389780095,2.43310847,2.383209757,2.431381558,2.134958928,3.428176099,2.809618093,1.416843862,3.11161341,1.555665075,1.53216496,1.768370173,2.453294172,2.274428392,1.431255363
ODC1,1081_at,10.84761485,9.110731257,8.920457832,11.78307724,9.871265829,11.35247637,8.335986509,9.489019595,10.6707741,10.94954225,10.90132693,10.60485583,8.908734874,9.889321527,8.839825845,9.577283946,10.3489829,9.61838846
PLCG1,1082_at,5.472307775,5.72567486,5.964954851,5.321628199,3.099608134,5.247872523,6.435177551,4.247214172,6.022608569,4.379420786,3.135272865,5.557914388,4.446096504,5.069279107,3.925102579,3.650920684,5.625115219,6.568171553
MUC1,1083_s_at,7.429208468,7.824952207,7.475579932,7.619367012,8.243481742,7.171538667,8.673830763,7.782151091,7.441307829,7.215148847,7.805333869,6.809787145,6.92913047,7.779724906,7.549327121,7.25872787,7.644772668,7.239501042
ABL2,1084_at,4.18325253,4.218978874,4.876515869,3.11848284,3.778875881,3.032338138,4.520978236,4.755722315,3.333182158,4.085587006,3.557706922,2.85384855,4.254286856,3.945497068,3.766398457,3.894989408,3.319708944,4.280172424
PLCG2,1085_s_at,6.840453455,6.336596014,7.10230491,6.982151163,7.842704094,6.849949205,7.748030436,7.859390662,7.259059858,7.183214349,6.882628874,6.646636693,7.009316178,7.507623418,7.283038704,6.542207556,7.153435755,7.185532458
CSF2RB,1086_at,3.428795019,3.370083345,4.683171104,3.898486315,4.663301146,4.357046538,5.128941381,3.530556582,4.596326322,4.447377208,3.743599917,3.753133898,3.085018915,3.697526205,2.65479998,2.544224545,2.771896304,4.365715376
EPOR,1087_at,5.871960769,4.177596729,4.171584446,4.435113319,4.527987993,4.936677502,5.561368042,4.165877191,6.110186467,5.534198248,3.715965629,6.754514917,4.547557108,5.690271059,3.295694205,5.37416861,5.437390561,6.354016671
BDNF,1088_at,5.041847485,6.265819948,1.442238602,4.542981307,2.13270104,3.945497068,5.003944611,5.523239042,4.928024242,3.858376147,4.375149112,4.346546701,4.706528967,5.682458764,4.391539961,5.027586465,6.244886188,4.497655746
M64936,1089_i_at,7.346658456,7.22975586,7.469769275,8.095078867,8.341070858,4.457536696,3.734036318,7.767911657,3.428176099,3.221706939,3.340004822,7.444625746,3.909944532,6.886805602,6.916891036,8.417871014,3.711208014,7.239501042
RAB40AL,108_g_at,7.37851698,7.095281814,5.384081036,7.886037979,7.900966686,7.736724345,6.229085142,6.238124163,7.832035007,7.549327121,7.859839508,7.964291742,7.69280423,7.80131414,7.66143581,7.486412298,6.874667646,7.900966686
M64936,1090_f_at,3.714658373,4.129164823,5.93938199,5.921918018,5.346965651,4.656333,5.339230782,5.08418186,3.31394437,5.384644831,5.597890814,5.481918615,4.011010466,2.855287477,5.494637374,6.017194338,5.171688004,4.113280081
PRKAR1B,1091_at,8.115230655,7.580553938,8.754714158,7.277096128,6.968425457,7.129648984,9.744895857,7.74315447,8.583162485,8.335986509,8.009945091,8.176986664,8.301481328,8.738793987,8.103055227,8.832936801,8.451149234,9.264632329
EDN2,1092_at,8.700775088,8.833262886,7.067202711,8.8844518,7.181140664,9.227990567,7.97925272,9.538477459,8.584122468,8.618338842,7.175630561,8.21536774,8.828332881,7.041589145,7.96711725,8.579233526,9.102803843,9.326570598
PPP2R1B,1093_at,5.223346043,5.330105899,5.014587677,5.815104366,5.381481683,4.724315237,3.068985351,2.167659325,5.919375076,4.504191723,5.271702284,4.336462277,4.344023103,5.194047451,5.258685403,5.032291917,4.627066474,4.884603733
PPP2R1B,1094_g_at,6.691457308,6.204106114,4.365715376,6.68616566,5.780698919,6.79208152,7.554551723,4.811870539,7.525333572,7.366537139,7.196476403,4.387931622,4.706528967,6.226336055,4.690965358,5.923880269,7.421691537,5.994396133
HGF,1095_s_at,1.323253409,1.823938228,0.374353593,3.209289135,3.467765337,1.961937076,1.051105797,5.346182554,1.135800007,1.05492534,0.227047322,1.828727127,1.958308163,4.647852344,2.393642335,0.688479587,-0.781948886,1.062647867
CD19,1096_g_at,6.940332689,6.51783913,6.17534322,6.310773724,6.920589309,7.174844898,7.772203303,7.388036828,6.680700928,5.069054699,5.144396278,5.110026659,5.723634638,7.420736205,5.631020251,6.787198301,7.290687653,5.437390561
CCR7,1097_s_at,6.688825221,6.199414534,5.895214541,5.818827155,6.8420172,6.576334795,8.527885901,6.372551824,3.477586521,4.709159222,5.949134219,6.524750761,4.437059762,6.491504872,6.679536112,6.798594688,7.57865149,5.870084435
THPO,1098_at,2.029748996,0.838512419,1.971287404,5.175563204,5.88070603,0.411417712,3.439892907,4.75009957,4.298907873,3.766398457,0.32592205,1.54403799,1.922227263,4.502212837,4.724315237,1.189177016,3.680437895,4.853067709
GSTT2B,1099_s_at,4.82367956,6.006798553,4.953987458,8.796878342,4.345554593,8.81471698,2.456508305,7.446993719,8.198510961,6.7881462,4.612914047,7.74315447,7.221192991,6.76670404,4.256643844,8.308860559,7.796795182,7.55491687
RABEPK,109_at,7.239633371,8.183526828,7.938030373,7.370269403,8.046480372,7.538752879,7.512685701,7.576721865,7.241659252,7.461786038,7.087631721,7.628725921,7.63444853,6.689164369,7.595524325,7.408831982,8.350279833,7.354986479
IRAK1,1100_at,8.193887912,9.265646216,8.307583476,8.731631345,8.625207588,8.609618698,7.772203303,8.352845015,8.390195741,8.369606964,8.493160038,8.559347913,7.979879746,7.825740717,8.22419827,8.745467131,7.688628359,7.490108028
APBB1,1101_at,6.848847402,7.402845767,7.312705938,6.536637505,6.732562432,6.597854141,7.307236411,7.565106529,6.62408358,6.559610031,6.227343249,6.919033397,6.367937453,6.976455764,6.940428979,7.377505285,5.787421777,7.272094987
NR3C1,1102_s_at,7.095852536,6.658546586,6.545402674,7.396565187,6.642968375,7.694207296,2.803405738,4.318781601,7.219639906,7.010999587,7.349897366,6.730695641,6.223559853,6.326229845,6.243672285,5.944327087,6.187984996,5.547860445
ANG,1103_at,8.175847857,6.749987079,5.520602939,8.709460361,7.072225689,9.050570099,4.123841439,5.908326299,8.981447615,8.478011671,8.626016964,8.831807526,7.10835153,6.326229845,6.472727717,7.961945442,6.69822092,8.445137309
HSPA1B,1104_s_at,10.69863406,9.18592649,10.07600721,9.373092331,10.22292269,9.367643854,8.563613932,8.997226481,10.32901562,9.323073424,10.16898827,9.948960595,10.77194017,10.47472601,10.14271445,9.85851364,10.39286395,10.71866008
IL23A,1105_s_at,8.455932958,8.053082464,7.92676982,7.895020791,8.15541355,8.285424837,9.782589322,9.865655549,8.415107087,8.657084116,8.230412231,8.450732963,9.005429456,8.722518249,8.959284581,8.588303259,8.950364365,8.031414135
